1	create	0	0s
2	fresh_eyes	0	0s
3	second_pass	0	0s
4	cohesion	0	0s
4.1	perspective_snapshot	0	0s
4.2	perspective_evidence	0	0s
4.3	perspective_packet_gate	0	0s
4.4	perspective_subject	0	0s
4.4	perspective_fan	0	0s
4.4	perspective_critic	0	0s
4.4	perspective_unfamiliar	0	0s
4.4	perspective_enneagram	0	0s
4.4	perspective_future	0	0s
4.5	perspective_reviews_gate	0	0s
4.6	perspective_synthesis	0	0s
4.7	perspective_synthesis_gate	0	0s
5	editor_pass	0	0s
5.05	perspective_editor_resolution_gate	0	0s
6	enrich_frontmatter	0	0s
6.1	perspective_verify	0	0s
6.2	perspective_verification_gate	0	0s
6.5	lint	0	0s
6.6	quality_report	0	0s
6.7	source_audit	0	0s
6.8	same_type_similarity	0	0s
7	grade	0	0s
9	stability_regrade	0	0s
9.2	record_grade_stability	0	0s
9.8	perspective_finalize	0	0s
